occurrenceID,catalogNumber,individualCount,year,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,vernacularName,species
4330963,4330963,80,1984,-38.10686,142.49303,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5581124,5581124,79,2005,-37.95906,144.44189,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
3902686,3902686,78,1990,-36.34273,146.19389,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10189207,10189207,75,2019,-38.46186,144.09781,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330532,4330532,74,1966,-37.54016,145.12631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12014381,12014381,74,2021,-37.76666,144.6849,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8509710,8509710,73,2016,-38.7478,145.9569,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12012103,12012103,72,2021,-37.59483,144.76803,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4330604,4330604,71,1971,-37.54016,145.12631,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6922553,6922553,71,2014,-37.565,144.8997,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6505416,6505416,70,2009,-37.2333,145.43306,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5587525,5587525,70,2005,-38.46874,144.92483,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4339960,4339960,70,1976,-37.54016,144.54299,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10188959,10188959,70,2018,-38.30282,144.36513,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8941855,8941855,69,2012,-37.14225,142.74473,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
9038020,9038020,68,2018,-37.63944,144.865,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
12014382,12014382,65,2021,-37.76666,144.6849,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
